pIC50,smiles
6.161150909262744,Cl.FCCOc1ccccc1CCC1CCN(CCc2ccccc2Cl)CC1
4.327625021253922,COc1cccc2c1nc(N)n1nc(CN3CCN(c4ncc(C)s4)CC3C)nc21
5.552841968657781,CC(C)(C)c1cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc(C(C)(C)C)c1
5.568636235841013,Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC(N)C(F)CC1
5.0,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCN(C(=O)c4cccnc4)CC3)cc2C2=CCCCC2)n1
5.134896025358872,CCOC(=O)C1=C(CN2CCOC(CO)C2)NC(c2nccs2)=NC1c1ccc(F)cc1Br
5.251811972993798,CCOCC1CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1
4.795880017344076,O=c1ccc2ncc(F)c3c2n1CC3(F)CN1CCC(NCc2cc3c(cn2)OCCO3)CC1
5.070581074285707,CNC(=O)c1ccc(-c2ccc(N3C(=O)N(c4cc(OC)ncn4)C4(CCN(Cc5ncccc5C)CC4)C3=O)cc2)cc1
5.00436480540245,COc1cc(CN2CCOCC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1
5.050609993355087,COCc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CC(OC)C3)c(=O)n2C)cn1
7.0506099933550885,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1.Cl.Cl
5.275724130399211,Cc1[nH]nc2c1c(=O)n(CCCN)c1cc(C3CCCCC3)c(C3CCCCC3)cc21
4.798602875679547,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=CC1(CCC(N)C(F)F)c1ccccc1
4.72584215073632,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
5.0,CCOC(=O)CNC(=O)c1cc(C(=O)NC(CC)c2ccccc2)c2n1CCOC2
4.900000142057633,O=C1N(CCN2CC3CCC2C3)CCN1c1cccc(Cl)c1
4.481486060122112,Cc1nc2ncc(Oc3ccc(Cl)cc3F)nc2c(=O)n1CC1CCCN(C(C)C)C1
4.769551078621727,Nc1nc(N2CCC(N3Cc4cnccc4OCC3Cc3ccc(Cl)cc3)CC2)n[nH]1
4.096910013008056,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nc[nH]c2n1
4.617982957425132,O=C(Nc1cc(-c2cn(C3CCOCC3)c3cnccc23)ccn1)N1CCOCC1
4.72584215073632,CCOC(=O)C1CCN(CCCCOc2ccc(S(N)(=O)=O)cc2)CC1
4.5228787452803365,O=C(C=Cc1ccc2c(c1)CN(CCc1c[nH]c3ccccc13)C2)NO
6.045275209020938,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
5.651999054653734,O=C(CCCCCN1C(=O)c2ccccc2N(Cc2ccccc2)C(=O)C1Cc1ccccc1)NO
5.0,COc1cc(-c2nc3n(n2)CCCC3c2ccccc2C(F)(F)F)ccc1-n1cnc(C)c1
4.43533393574791,CC(c1nc(-c2ccc(Cl)cc2Cl)no1)C(N)C(=O)N1CCCC1.O=C(O)C(F)(F)F
6.790002703917631,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
4.5228787452803365,CC1(O)CCC2C(CCC3C2CCC2(C)C(C(=O)Cn4cc(C#N)cn4)CCC32)C1
4.820000071285177,CC(C)COc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2
5.0,COc1cncc2c1C1(O)C(O)C(CN(C)C)C(c3ccccc3)C1(c1ccc(C#N)cc1)O2
4.886056647693163,Nc1nc2cc3c(cc2s1)CCN(Cc1ccccn1)CC3
5.0,CC1(C)Oc2ccc(-c3cncnc3)cc2C2(CSC(N)=N2)C12COC2
4.769551078621727,Cc1ncc(-c2ccnc(Nc3ccc(C(N)=O)cc3)n2)n1C(C)C
4.5228787452803365,CCOCC(CC(C)C)NC(=O)C1CNCC(C(=O)N(c2cc(OCCCOC)c(C(C)C)cn2)C2CC2)C1.Cl
6.3187587626244115,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccc(OC)cc2)CC1
5.0,CN(C)C(=O)Cn1ccc2ncc(-c3ccc(F)c(Cl)c3)cc21
5.8297382846050425,CCOC(=O)N1CCC(CN2CCC3(CC2)OC(=O)N(C)c2ncccc23)CC1
4.557520230935552,CCc1ccc2oc(N3CCN4CCC3CC4)nc2n1
4.0,CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3ccc(Cl)cc3n2)c1=O
4.800000052738446,Cc1ccc(-c2cc3nccnc3c(NCCCCN)n2)cc1
5.872895201635193,CN1CCC(c2nc(-c3ccc(F)c(NS(C)(=O)=O)c3)c(-c3ccnc(NCC4CC4)n3)s2)CC1
5.6020599913279625,C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1
5.8446639625349395,CC(C)Cc1cc(CNC(=O)C2C3CN(Cc4ccccc4)CC32)nn1-c1ccccc1
4.2839966563652006,COc1ccc2ccc(=O)n(CC(N)C3CCC(NCc4ccc5c(n4)NC(=O)CO5)CO3)c2n1
5.214670164989234,CC(=O)C1=NN2c3cc(F)ccc3OCC2C1(CCCN1CCOCC1)c1ccccc1
6.8696662315049934,Cc1ccc(CN2CCC(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)cc1
8.4089353929735,CC(Cc1ccc([N+](=O)[O-])cc1)N1CCN(CCc2ccc([N+](=O)[O-])cc2)CC1
5.602755418989613,COc1ccc2c(c1)CN(C(=O)N1CCN(Cc3ccc4c(c3)OCO4)CC1)CCS2
5.795880017344076,Cc1cc2nc(C=CC3CCNC3)n(Cc3ccc(Cl)cc3)c2cc1C
4.480000028175458,Cc1nc2ncc(Oc3ccc(Cl)cc3F)nc2c(=O)n1CC1CCCN(C(C)C)C1
4.221848749616356,O=c1ccc2ncc(F)c3c2n1CC3(O)CC12CCC(NCc3cc4c(cn3)OCCS4(=O)=O)(CC1)CO2
5.0,Cc1cnnc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C2(CCC2)O3)c1
4.779999975777493,CC1(C)Oc2cccc(CN3CCC4(CC3)CCN(C(=O)c3ccnc(N)c3)CC4)c2O1
3.0436634570789662,O=C(CCNC(=O)c1cccc([N+](=O)[O-])c1)NC1CCOC1=O
7.522878745280337,CC1c2c([nH]c3ccc(C(F)(F)F)cc23)CC2CCN(CCCC3CCOCC3)CC21
4.301029995663981,O=C(O)c1ccc(C2CCN(C3CC4OCCC4(C(=O)N4CCc5ncc(C(F)(F)F)cc5C4)C3)CC2)cc1
4.5228787452803365,CC1COCCN1c1nc(-c2cncc3[nH]ccc23)cc2c1ncn2C
5.853871964321763,N#Cc1ccc(-c2ccc(CC(C#N)NC(=O)C3CCCCN3)cc2)cc1
6.522878745280337,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)c3ccc(C)cc3)CC2)c1
